"","neighbourhood_cleansed","avg_review"
"1","Bayview",9.14893617021277
"2","Bernal Heights",9.50552486187845
"3","Castro/Upper Market",9.49370277078086
"4","Chinatown",9.16161616161616
"5","Crocker Amazon",9.08695652173913
"6","Diamond Heights",9.70588235294118
"7","Downtown/Civic Center",9.02724795640327
"8","Excelsior",9.25581395348837
"9","Financial District",9.31313131313131
"10","Glen Park",9.69565217391304
"11","Golden Gate Park",8.875
"12","Haight Ashbury",9.30379746835443
"13","Inner Richmond",9.36697247706422
"14","Inner Sunset",9.49193548387097
"15","Lakeshore",9.14705882352941
"16","Marina",9.41702127659575
"17","Mission",9.37753882915173
"18","Nob Hill",9.27848101265823
"19","Noe Valley",9.45398773006135
"20","North Beach",9.31159420289855
"21","Ocean View",9.25274725274725
"22","Outer Mission",9.46043165467626
"23","Outer Richmond",9.41216216216216
"24","Outer Sunset",9.43127962085308
"25","Pacific Heights",9.38414634146342
"26","Parkside",9.36458333333333
"27","Potrero Hill",9.47747747747748
"28","Presidio",9.66666666666667
"29","Presidio Heights",9.58064516129032
"30","Russian Hill",9.30573248407643
"31","Seacliff",9.38888888888889
"32","South of Market",9.3096926713948
"33","Treasure Island/YBI",9.625
"34","Twin Peaks",9.66666666666667
"35","Visitacion Valley",9.4375
"36","West of Twin Peaks",9.6063829787234
"37","Western Addition",9.42733564013841
